STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"25,450.00",250,550.8,554.25,225,128.2,551.8,40.37,"3,385",-44,"1,059"
"25,500.00",250,600.55,603.45,75,134.3,602.5,43.08,"31,769","-1,489","8,260"
"25,550.00",250,650.3,653.4,25,133.25,651.4,45.2,"1,552",-73,789
"25,600.00",250,700.55,703.4,25,127.25,698.35,46.61,"2,341",26,"1,406"
"25,650.00",250,750.1,754.15,175,132.5,748.95,49.15,226,7,816
"25,700.00",250,800.25,804,250,128.6,799.05,51.51,706,-9,990
"25,750.00",250,850.05,854.05,150,130.35,848.3,53.52,180,33,274
"25,800.00",250,900.1,903.95,250,132.45,895.35,54.68,398,-74,"1,173"
"25,850.00",250,949.8,953.55,50,132.4,953.15,59.78,118,31,131
"25,900.00",250,999.65,"1,004.15",250,131.85,"1,000.45",61.01,105,18,199
"25,950.00",250,"1,046.25","1,057.70",675,122.4,"1,042.65",60.1,168,24,48
"26,000.00",100,"1,098.95","1,103.70",50,144.65,"1,102.00",65.97,"1,476",345,"1,478"
"26,050.00",375,"1,102.70","1,199.50",375,-,-,-,-,-,-
"26,100.00",50,"1,198.65","1,204.45",50,117.45,"1,196.50",68.01,12,2,32
"26,150.00",375,"1,201.45","1,300.15",375,-,-,-,-,-,-
"26,200.00",375,"1,250.25","1,349.15",375,-,-,-,-,-,49
"26,250.00",375,"1,292.10","1,408.80","1,000",-,-,-,-,-,-
"26,300.00",375,"1,349.00","1,449.15",375,-,-,-,-,-,-
"26,350.00",375,"1,404.35","1,495.05",375,-,-,-,-,-,-
"26,400.00","1,775","1,265.40","1,560.65","1,000",-,-,-,-,-,-
"26,450.00",375,"1,498.30","1,600.00",375,-,-,-,-,-,-
"26,500.00",150,"1,561.90","1,608.55",75,154.9,"1,606.30",88.61,4,2,66
"26,550.00",375,"1,596.45","1,702.00",375,-,-,-,-,-,-
"26,600.00",375,"1,646.55","1,752.25",375,-,-,-,-,-,1
"26,650.00",375,"1,695.30","1,803.10",375,-,-,-,-,-,-
"26,700.00",375,"1,748.65","1,852.10",375,-,-,-,-,-,1
"26,750.00",50,"1,822.95","1,856.50",100,-79.8,"1,714.05",-,28,17,18
"26,800.00",375,"1,845.55","1,951.85",375,-,-,-,-,-,1
"26,850.00",50,"1,908.35","2,003.80",375,-730.5,"1,830.40",-,2,-,-
"26,900.00",375,"1,948.70","2,053.15",375,-,-,-,-,-,-
"26,950.00",50,"2,022.40","2,099.85",375,-774.85,"1,882.95",-,2,1,1
"27,000.00",375,"2,036.15","2,163.15",375,-,-,-,-,-,3
"27,050.00",250,"2,096.80","2,200.20",375,-,-,-,-,-,7
