STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"25,200.00",250,272.4,272.9,225,-92.85,273.25,14.07,"1,16,009","10,513","19,364"
"25,250.00",50,317.45,318.3,150,-90.2,318.25,14.87,"6,807",-367,"2,117"
"25,300.00",50,364.1,365.2,75,-90.4,366,16.05,"11,616",127,"5,011"
"25,350.00",100,412.1,413.7,125,-84.05,414.45,17.62,"1,827",95,248
"25,400.00",200,460.4,462.35,125,-84.45,462.75,18.58,"2,237",3,597
"25,450.00",150,508.3,512.1,25,-77.15,511.5,21.79,427,8,178
"25,500.00",100,559.45,561.1,75,-91.55,562.2,20.22,"8,564",399,"2,860"
"25,550.00",75,606.4,610.4,75,-90.8,615.1,25.92,133,15,29
"25,600.00",25,658.4,661.7,100,-81.2,652.05,24.39,512,-91,225
"25,650.00",50,705.4,712.8,50,-61.05,705,25.63,50,21,23
"25,700.00",250,758.1,760.3,75,-25.4,813.7,42.29,32,7,43
"25,750.00",25,792.85,828.5,275,-18.6,875.95,46.57,1,-,6
"25,800.00",75,857.5,861.75,100,-92.05,858.1,30.98,71,10,53
"25,850.00",75,878.65,929,250,-129.95,893.85,24.92,8,5,6
"25,900.00",750,928,968.3,50,10.9,970.25,38,4,-,3
"25,950.00",75,987.2,"1,029.00",175,-84.25,"1,000.70",31.69,2,1,3
"26,000.00",100,"1,056.85","1,060.55",125,-113.7,"1,047.45",37.98,344,5,609
"26,050.00","1,800","1,077.75","1,129.15","1,800",-,-,-,-,-,11
"26,100.00",125,"1,133.80","1,179.05",325,-,"1,237.05",61.09,1,-,3
"26,150.00","1,800","1,177.55","1,229.15","1,800",-,-,-,-,-,-
"26,200.00",75,"1,227.55","1,278.15",50,"-1,118.60","1,325.00",61.71,1,-,-
"26,250.00","1,800","1,277.40","1,329.15","1,800",-,-,-,-,-,2
"26,300.00","1,800","1,327.30","1,379.20","1,800",-,-,-,-,-,-
"26,350.00","1,800","1,377.25","1,429.20","1,800",-,-,-,-,-,1
"26,400.00",50,"1,427.35","1,478.60",50,101.4,"1,552.45",74.48,4,2,3
"26,450.00","1,025","1,450.00","1,560.40",250,-420,"1,500.00",43.42,2,-,2
"26,500.00","1,025","1,514.85","1,591.10",50,-20,"1,634.10",73.46,1,-,84
"26,550.00",50,"1,573.15","1,622.90",25,-107,"1,499.25",70.37,15,4,7
"26,600.00","1,025","1,534.60","1,715.10","1,000",-,-,-,-,-,-
