OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
"41,793","4,551","1,70,399",25.78,0.4,-0.45,"16,275",0.4,0.55,"1,700","25,850.00"
"1,04,885","-3,292","5,33,433",27.33,0.35,-0.4,"9,675",0.35,0.45,700,"25,900.00"
"24,942","-1,633","86,408",27.56,0.8,0.05,625,0.35,0.8,175,"25,950.00"
"2,98,237","-30,781","12,07,641",29.5,0.35,-0.4,"1,97,225",0.35,0.45,50,"26,000.00"
"36,757",593,"79,917",29.96,0.35,-0.45,950,0.35,0.45,"3,000","26,050.00"
"60,521","-1,030","1,09,173",31.15,0.45,-0.3,"7,000",0.3,0.45,"1,525","26,100.00"
"25,198","4,052","77,953",33.51,0.35,-0.45,"13,375",0.35,0.6,"1,800","26,150.00"
"91,408",548,"2,06,743",31.83,0.25,-0.35,"2,11,200",0.2,0.25,"1,275","26,200.00"
"29,583","-8,009","77,407",32.95,0.2,-0.35,"50,500",0.2,0.35,"1,250","26,250.00"
"63,541","-29,840","2,18,809",35.86,0.3,-0.25,"43,925",0.25,0.3,25,"26,300.00"
"16,553","6,117","92,675",35.18,0.2,-0.4,"33,700",0.2,0.6,575,"26,350.00"
"37,389","-2,955","1,25,562",37.01,0.2,-0.3,"2,07,925",0.2,0.25,500,"26,400.00"
"4,337",726,"21,376",37.39,0.2,-0.35,"16,475",0.2,0.35,"1,900","26,450.00"
"1,53,292","-11,491","6,30,841",38.49,0.2,-0.25,"6,84,850",0.2,0.25,725,"26,500.00"
"23,368","6,134","16,424",41.03,0.3,-0.2,"48,150",0.2,0.3,775,"26,550.00"
"48,512","11,331","49,173",42.15,0.3,-0.25,"11,300",0.3,0.4,"4,450","26,600.00"
"11,612","-3,118","21,698",44.43,0.4,-0.1,"33,600",0.2,0.5,350,"26,650.00"
"48,833","14,252","67,096",44.38,0.3,-0.25,"3,600",0.35,0.4,600,"26,700.00"
"37,682",448,"2,42,294",42.88,0.2,-0.2,"2,36,575",0.15,0.2,"13,225","26,750.00"
"77,661","5,960","92,243",46.59,0.25,-0.3,"24,500",0.25,0.35,"15,075","26,800.00"
"1,65,966","86,909","5,79,285",48.36,0.35,-0.05,"2,275",0.35,0.4,"13,025","26,850.00"
"53,009","16,056","97,812",48.02,0.25,-0.3,"19,425",0.25,0.4,"5,000","26,900.00"
"31,191","10,247","83,782",49.88,0.3,-0.1,"3,350",0.3,0.35,"2,100","26,950.00"
"1,25,119","12,925","2,21,719",50.17,0.25,-0.15,500,0.25,0.35,"5,000","27,000.00"
"67,682","4,101","2,34,097",52.05,0.3,-0.1,800,0.3,0.4,"3,000","27,050.00"
